# Mongolian Wordnet (MonWN)	mon	https://github.com/kbatsuren/monwn	CC BY 4.0
00031264-n	mon:lemma	баг
00031264-n	mon:lemma	бүлэг
00031264-n	mon:lemma	нэгдэл
00031264-n	mon:def 0	нэг нэгж болон тооцогдох хэд хэдэн иргэд эсвэл албан байгууллага /гишүүн/
00031921-n	mon:lemma	харилцаа
00032613-n	mon:lemma	өмч
00032613-n	mon:lemma	өмчлөх
00032613-n	mon:def 0	Ямар нэгэн зүйл эзэмших буюу өмчлөх
01188725-v	mon:lemma	шаардах
01188725-v	mon:lemma	хүсэх
00032823-n	mon:lemma	нийгмийн харилцаа
00032823-n	mon:def 0	Амьд бие организм хоорондын харилцаа (Ялангуяа хүмүүсийн хоорондох)
00033020-n	mon:lemma	харилцаа
00033020-n	mon:def 0	хүмүүс болон бүлгийн хооронд харилцаж буй ямар нэг зүйл
00033615-n	mon:lemma	хэмжээ
00034213-n	mon:lemma	үзэгдэл
00034479-n	mon:lemma	юм
00034479-n	mon:def 0	аливаа байгаа бүх бодит, зарим хийсвэр зүйлийн ерөнхий нэр
00034574-n	mon:lemma	сайхан сэтгэл
00034574-n	mon:lemma	нинжин сэтгэл
00034574-n	mon:def 0	бусдад цагаан сэтгэлээр хандах
01190494-v	mon:lemma	улаан зээрд бол
01190494-v	mon:lemma	согт
13787379-n	mon:lemma	синус
00035189-n	mon:lemma	ололт амжилт
00035189-n	mon:lemma	хэрэгжилт
00035189-n	mon:def 0	ямар нэг ажлын явцад гаргасан үр бүтээл, үр дүн
06191212-n	mon:lemma	дахин төрлийг олох
06191212-n	mon:lemma	хүн төрлийг олох
06191212-n	mon:lemma	дахин төрөх
00035891-n	mon:lemma	ялгалт
00035891-n	mon:def 0	ялгах үйлдэл
00036762-n	mon:lemma	гавьяа
00036762-n	mon:lemma	чармайлт
00036762-n	mon:lemma	баатарлаг үйлс
00036762-n	mon:lemma	үйл хэрэг
00036762-n	mon:def 0	гайхалтай амжилт
05803747-n	mon:lemma	гавьяа
05803747-n	mon:def 0	олсон амжилтыг магтахын тулд "таны гавьяа" гэсэн хэллэгт ашигладаг
00037396-n	mon:lemma	үйл явдал
00037396-n	mon:def 0	Болсон үйл явдал \ихэвчлэн ямар нэг зүйлийн эсрэгээр\
06193203-n	mon:lemma	хандлага
06193203-n	mon:def 0	тодорхой нөхцөл байдалд гаргах зан авир, үнэ цэн, мэдрэмж, итгэлтэй байдлыг оролцуулсан оюуны цогц бүтэц
00038262-n	mon:lemma	үйл ажиллагааны чиглэл
00038262-n	mon:lemma	дамжаа
00038262-n	mon:def 0	үйл ажиллагааны нэг горим
06194409-n	mon:lemma	соёл
